system:index,NDBI,NDVI,lat,lon,station,year_month,.geo
14_6,0.10950472950935364,-0.08357822149991989,24.81,66.99,Landhi,2020-03,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
14_7,0.09745009243488312,0.054180603474378586,24.92,67.05,Federal_B_Area,2020-03,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
15_0,0.04827813431620598,0.029078157618641853,24.9056,67.0822,Gulshan-e-Iqbal,2020-04,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
15_1,0.09866063296794891,0.04538152739405632,24.856,67.01,Saddar,2020-04,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
15_2,0.11234315484762192,0.03768530115485191,24.94,66.98,SITE_Industrial,2020-04,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
15_3,0.03300222381949425,0.17750442028045654,24.82,67.03,Korangi_Industrial,2020-04,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
15_4,0.13295507431030273,0.1091800332069397,24.98,67.12,North_Nazimabad,2020-04,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
15_5,0.10103198140859604,0.17969349026679993,24.89,67.13,Gulistan_Jauhar,2020-04,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
15_6,0.06563985347747803,-0.016862448304891586,24.81,66.99,Landhi,2020-04,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
15_7,0.09770429134368896,0.041634418070316315,24.92,67.05,Federal_B_Area,2020-04,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
16_0,0.0436117947101593,0.02670401521027088,24.9056,67.0822,Gulshan-e-Iqbal,2020-05,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
16_1,0.09734868258237839,0.04034764692187309,24.856,67.01,Saddar,2020-05,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
16_2,0.10177440941333771,0.026216071099042892,24.94,66.98,SITE_Industrial,2020-05,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
16_3,0.022295081987977028,0.2041025608778,24.82,67.03,Korangi_Industrial,2020-05,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
16_4,0.14133770763874054,0.09434474259614944,24.98,67.12,North_Nazimabad,2020-05,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
16_5,0.09262759983539581,0.16867469251155853,24.89,67.13,Gulistan_Jauhar,2020-05,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
16_6,0.11528321355581284,-0.04090462625026703,24.81,66.99,Landhi,2020-05,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
16_7,0.09213989973068237,0.0431576669216156,24.92,67.05,Federal_B_Area,2020-05,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
17_0,0.06816030293703079,0.01933034136891365,24.9056,67.0822,Gulshan-e-Iqbal,2020-06,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
17_1,0.09861248731613159,0.018635855987668037,24.856,67.01,Saddar,2020-06,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
17_2,0.1087450236082077,0.016701381653547287,24.94,66.98,SITE_Industrial,2020-06,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
17_3,0.02975853718817234,0.18746401369571686,24.82,67.03,Korangi_Industrial,2020-06,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
17_4,0.14204765856266022,0.0795564278960228,24.98,67.12,North_Nazimabad,2020-06,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
17_5,0.10245241224765778,0.130712628364563,24.89,67.13,Gulistan_Jauhar,2020-06,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
17_6,0.029994916170835495,-0.07108081877231598,24.81,66.99,Landhi,2020-06,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
17_7,0.11128344386816025,0.031135177239775658,24.92,67.05,Federal_B_Area,2020-06,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
18_0,0.07538627088069916,0.014213062822818756,24.9056,67.0822,Gulshan-e-Iqbal,2020-07,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
18_1,0.1519790142774582,0.018318966031074524,24.856,67.01,Saddar,2020-07,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
18_2,0.14162810146808624,0.009157704189419746,24.94,66.98,SITE_Industrial,2020-07,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
18_3,0.034063670784235,0.17838680744171143,24.82,67.03,Korangi_Industrial,2020-07,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
18_4,0.14365653693675995,0.05350302532315254,24.98,67.12,North_Nazimabad,2020-07,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
18_5,0.09866978228092194,0.1109909936785698,24.89,67.13,Gulistan_Jauhar,2020-07,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
18_6,,,24.81,66.99,Landhi,2020-07,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
18_7,0.1254304051399231,0.0320250429213047,24.92,67.05,Federal_B_Area,2020-07,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
19_0,0.03372710198163986,0.043832071125507355,24.9056,67.0822,Gulshan-e-Iqbal,2020-08,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
19_1,,,24.856,67.01,Saddar,2020-08,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
19_2,,,24.94,66.98,SITE_Industrial,2020-08,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
19_3,,,24.82,67.03,Korangi_Industrial,2020-08,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
19_4,0.21362458169460297,0.08533469587564468,24.98,67.12,North_Nazimabad,2020-08,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
19_5,,,24.89,67.13,Gulistan_Jauhar,2020-08,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
19_6,-0.03583521023392677,-0.12558619678020477,24.81,66.99,Landhi,2020-08,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
19_7,,,24.92,67.05,Federal_B_Area,2020-08,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20_0,0.07539466768503189,0.034274209290742874,24.9056,67.0822,Gulshan-e-Iqbal,2020-09,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
