date,pm25,pm25_count,scope,source
2019-05-27,95.8334,8,citywide,MERRA-2_GEE
2019-05-28,87.6562,8,citywide,MERRA-2_GEE
2019-05-29,98.6489,8,citywide,MERRA-2_GEE
2019-05-30,110.185,8,citywide,MERRA-2_GEE
2019-05-31,92.6198,8,citywide,MERRA-2_GEE
2019-06-01,81.568,8,citywide,MERRA-2_GEE
2019-06-02,92.5884,8,citywide,MERRA-2_GEE
2019-06-03,97.7383,8,citywide,MERRA-2_GEE
2019-06-04,113.9023,8,citywide,MERRA-2_GEE
2019-06-05,111.6266,8,citywide,MERRA-2_GEE
2019-06-06,94.3332,8,citywide,MERRA-2_GEE
2019-06-07,97.8773,8,citywide,MERRA-2_GEE
2019-06-08,93.2536,8,citywide,MERRA-2_GEE
2019-06-09,81.634,8,citywide,MERRA-2_GEE
2019-06-10,92.1846,8,citywide,MERRA-2_GEE
2019-06-11,202.2924,8,citywide,MERRA-2_GEE
2019-06-12,202.166,8,citywide,MERRA-2_GEE
2019-06-13,90.761,8,citywide,MERRA-2_GEE
2019-06-14,106.7752,8,citywide,MERRA-2_GEE
2019-06-15,109.5647,8,citywide,MERRA-2_GEE
2019-06-16,109.734,8,citywide,MERRA-2_GEE
2019-06-17,77.5191,8,citywide,MERRA-2_GEE
2019-06-18,110.5059,8,citywide,MERRA-2_GEE
2019-06-19,107.2812,8,citywide,MERRA-2_GEE
2019-06-20,47.133,8,citywide,MERRA-2_GEE
2019-06-21,85.0009,8,citywide,MERRA-2_GEE
2019-06-22,83.5514,8,citywide,MERRA-2_GEE
2019-06-23,78.3991,8,citywide,MERRA-2_GEE
2019-06-24,79.0367,8,citywide,MERRA-2_GEE
2019-06-25,71.802,8,citywide,MERRA-2_GEE
2019-06-26,63.7247,8,citywide,MERRA-2_GEE
2019-06-27,79.3545,8,citywide,MERRA-2_GEE
2019-06-28,98.4507,8,citywide,MERRA-2_GEE
2019-06-29,105.4046,8,citywide,MERRA-2_GEE
2019-06-30,125.1945,8,citywide,MERRA-2_GEE
2019-07-01,102.2687,8,citywide,MERRA-2_GEE
2019-07-02,70.2041,8,citywide,MERRA-2_GEE
2019-07-03,66.8427,8,citywide,MERRA-2_GEE
2019-07-04,108.7491,8,citywide,MERRA-2_GEE
2019-07-05,88.5457,8,citywide,MERRA-2_GEE
2019-07-06,83.2596,8,citywide,MERRA-2_GEE
2019-07-07,89.8069,8,citywide,MERRA-2_GEE
2019-07-08,81.6129,8,citywide,MERRA-2_GEE
2019-07-09,109.0389,8,citywide,MERRA-2_GEE
2019-07-10,101.0639,8,citywide,MERRA-2_GEE
2019-07-11,93.1747,8,citywide,MERRA-2_GEE
2019-07-12,86.9694,8,citywide,MERRA-2_GEE
2019-07-13,69.6556,8,citywide,MERRA-2_GEE
2019-07-14,123.9008,8,citywide,MERRA-2_GEE
2019-07-15,106.6237,8,citywide,MERRA-2_GEE
2019-07-16,125.2573,8,citywide,MERRA-2_GEE
2019-07-17,80.3646,8,citywide,MERRA-2_GEE
2019-07-18,61.4659,8,citywide,MERRA-2_GEE
2019-07-19,67.4667,8,citywide,MERRA-2_GEE
2019-07-20,60.8525,8,citywide,MERRA-2_GEE
2019-07-21,62.6614,8,citywide,MERRA-2_GEE
2019-07-22,56.5885,8,citywide,MERRA-2_GEE
2019-07-23,57.5629,8,citywide,MERRA-2_GEE
2019-07-24,60.1785,8,citywide,MERRA-2_GEE
2019-07-25,95.5815,8,citywide,MERRA-2_GEE
2019-07-26,139.0016,8,citywide,MERRA-2_GEE
2019-07-27,136.9659,8,citywide,MERRA-2_GEE
2019-07-28,99.1088,8,citywide,MERRA-2_GEE
2019-07-29,75.969,8,citywide,MERRA-2_GEE
2019-07-30,98.1994,8,citywide,MERRA-2_GEE
2019-07-31,90.8683,8,citywide,MERRA-2_GEE
2019-08-01,73.6414,8,citywide,MERRA-2_GEE
2019-08-02,112.0917,8,citywide,MERRA-2_GEE
2019-08-03,116.0191,8,citywide,MERRA-2_GEE
2019-08-04,93.2634,8,citywide,MERRA-2_GEE
2019-08-05,95.917,8,citywide,MERRA-2_GEE
2019-08-06,84.9513,8,citywide,MERRA-2_GEE
2019-08-07,93.0267,8,citywide,MERRA-2_GEE
2019-08-08,188.5776,8,citywide,MERRA-2_GEE
2019-08-09,130.3166,8,citywide,MERRA-2_GEE
2019-08-10,132.3236,8,citywide,MERRA-2_GEE
2019-08-11,128.9829,8,citywide,MERRA-2_GEE
2019-08-12,78.4993,8,citywide,MERRA-2_GEE
2019-08-13,44.2871,8,citywide,MERRA-2_GEE
2019-08-14,29.4677,8,citywide,MERRA-2_GEE
2019-08-15,30.2335,8,citywide,MERRA-2_GEE
2019-08-16,32.5509,8,citywide,MERRA-2_GEE
2019-08-17,46.604,8,citywide,MERRA-2_GEE
2019-08-18,41.8445,8,citywide,MERRA-2_GEE
2019-08-19,29.3233,8,citywide,MERRA-2_GEE
2019-08-20,25.0313,8,citywide,MERRA-2_GEE
2019-08-21,28.8621,8,citywide,MERRA-2_GEE
2019-08-22,37.6847,8,citywide,MERRA-2_GEE
2019-08-23,31.9923,8,citywide,MERRA-2_GEE
2019-08-24,32.7883,8,citywide,MERRA-2_GEE
2019-08-25,29.312,8,citywide,MERRA-2_GEE
2019-08-26,31.8016,8,citywide,MERRA-2_GEE
2019-08-27,32.8253,8,citywide,MERRA-2_GEE
2019-08-28,40.7138,8,citywide,MERRA-2_GEE
2019-08-29,43.1738,8,citywide,MERRA-2_GEE
2019-08-30,42.5308,8,citywide,MERRA-2_GEE
2019-08-31,56.0615,8,citywide,MERRA-2_GEE
2019-09-01,90.6624,8,citywide,MERRA-2_GEE
2019-09-02,62.3828,8,citywide,MERRA-2_GEE
2019-09-03,35.2776,8,citywide,MERRA-2_GEE
2019-09-04,46.103,8,citywide,MERRA-2_GEE
2019-09-05,60.276,8,citywide,MERRA-2_GEE
2019-09-06,68.0731,8,citywide,MERRA-2_GEE
2019-09-07,90.8971,8,citywide,MERRA-2_GEE
2019-09-08,89.3909,8,citywide,MERRA-2_GEE
2019-09-09,58.2046,8,citywide,MERRA-2_GEE
2019-09-10,59.2551,8,citywide,MERRA-2_GEE
2019-09-11,53.6414,8,citywide,MERRA-2_GEE
2019-09-12,42.6776,8,citywide,MERRA-2_GEE
2019-09-13,44.623,8,citywide,MERRA-2_GEE
2019-09-14,43.4701,8,citywide,MERRA-2_GEE
2019-09-15,44.836,8,citywide,MERRA-2_GEE
2019-09-16,107.9495,8,citywide,MERRA-2_GEE
2019-09-17,129.0348,8,citywide,MERRA-2_GEE
2019-09-18,57.6199,8,citywide,MERRA-2_GEE
2019-09-19,47.9059,8,citywide,MERRA-2_GEE
2019-09-20,56.8774,8,citywide,MERRA-2_GEE
2019-09-21,55.561,8,citywide,MERRA-2_GEE
2019-09-22,50.2139,8,citywide,MERRA-2_GEE
2019-09-23,38.8853,8,citywide,MERRA-2_GEE
2019-09-24,35.0881,8,citywide,MERRA-2_GEE
2019-09-25,41.6061,8,citywide,MERRA-2_GEE
2019-09-26,39.0996,8,citywide,MERRA-2_GEE
2019-09-27,35.7966,8,citywide,MERRA-2_GEE
2019-09-28,46.6527,8,citywide,MERRA-2_GEE
2019-09-29,38.6,8,citywide,MERRA-2_GEE
2019-09-30,40.5687,8,citywide,MERRA-2_GEE
