date,station,Optical_Depth_055,wind_speed,month,month_sin,day_of_week,month_cos,is_weekend,viirs_ntl,pm25
2019-09-15,Landhi,0.4162027027027026,7.18820456496007,9,-1.0,6,-1.8369701987210287e-16,1,35.38999938964844,44.836
2019-09-16,Landhi,0.523,6.584724756811572,9,-1.0,0,-1.8369701987210287e-16,0,35.38999938964844,107.9495
2019-09-17,Landhi,0.3293595060577819,5.247231199224779,9,-1.0,1,-1.8369701987210287e-16,0,35.38999938964844,129.0348
2019-09-18,Landhi,0.4410019584802193,3.4310282504251943,9,-1.0,2,-1.8369701987210287e-16,0,35.38999938964844,57.6199
2019-09-19,Landhi,0.2535057641633728,3.769908120043599,9,-1.0,3,-1.8369701987210287e-16,0,35.38999938964844,47.9059
2019-09-20,Landhi,0.3050108695652174,3.699623564421381,9,-1.0,4,-1.8369701987210287e-16,0,35.38999938964844,56.8774
2019-09-21,Landhi,0.5074176661669165,1.5018724706407984,9,-1.0,5,-1.8369701987210287e-16,1,35.38999938964844,55.561
2019-09-22,Landhi,0.4382114978902953,1.197133111692379,9,-1.0,6,-1.8369701987210287e-16,1,35.38999938964844,50.2139
2019-09-23,Landhi,0.4037619479733817,1.719100567553914,9,-1.0,0,-1.8369701987210287e-16,0,35.38999938964844,38.8853
2019-09-24,Landhi,0.398,3.253645839091423,9,-1.0,1,-1.8369701987210287e-16,0,35.38999938964844,35.0881
2019-09-25,Landhi,0.545063829787234,1.0800057891089947,9,-1.0,2,-1.8369701987210287e-16,0,35.38999938964844,41.6061
2019-09-26,Landhi,0.4379610987560791,1.165477674322906,9,-1.0,3,-1.8369701987210287e-16,0,35.38999938964844,39.0996
2019-09-27,Landhi,0.3998495013885174,0.496347873352091,9,-1.0,4,-1.8369701987210287e-16,0,35.38999938964844,35.7966
2019-09-28,Landhi,0.3576382850241545,1.3852865716412266,9,-1.0,5,-1.8369701987210287e-16,1,35.38999938964844,46.6527
2019-09-29,Landhi,0.3873690413533834,1.7860070051307968,9,-1.0,6,-1.8369701987210287e-16,1,35.38999938964844,38.6
2019-09-30,Landhi,0.3041531531531531,3.550637289426314,9,-1.0,0,-1.8369701987210287e-16,0,35.38999938964844,40.5687
2019-10-01,Landhi,0.3474137931034482,6.436534271865598,10,-0.8660254037844386,1,0.5000000000000001,0,38.52999877929688,49.1278
2019-10-02,Landhi,0.4739756347256347,5.64717403464101,10,-0.8660254037844386,2,0.5000000000000001,0,38.52999877929688,57.2196
2019-10-03,Landhi,0.4897813175805784,5.173908122115492,10,-0.8660254037844386,3,0.5000000000000001,0,38.52999877929688,56.2339
2019-10-04,Landhi,0.4423704061895551,3.463667756638381,10,-0.8660254037844386,4,0.5000000000000001,0,38.52999877929688,55.287
2019-10-05,Landhi,0.478,2.368300650408119,10,-0.8660254037844386,5,0.5000000000000001,1,38.52999877929688,47.7309
2019-10-06,Landhi,0.3799399021256407,0.7554429587877927,10,-0.8660254037844386,6,0.5000000000000001,1,38.52999877929688,61.2928
2019-10-07,Landhi,0.3179229760119939,2.938735571615828,10,-0.8660254037844386,0,0.5000000000000001,0,38.52999877929688,49.166
2019-10-08,Landhi,0.1734324212893552,1.5346328491321892,10,-0.8660254037844386,1,0.5000000000000001,0,38.52999877929688,34.831
2019-10-09,Landhi,0.2335573088455771,3.000105479717277,10,-0.8660254037844386,2,0.5000000000000001,0,38.52999877929688,35.3057
2019-10-10,Landhi,0.1931999999999999,2.8191715383104268,10,-0.8660254037844386,3,0.5000000000000001,0,38.52999877929688,30.8597
2019-10-11,Landhi,0.2329827586206896,3.056024119378305,10,-0.8660254037844386,4,0.5000000000000001,0,38.52999877929688,31.8002
2019-10-12,Landhi,0.2089565217391303,2.36210578581513,10,-0.8660254037844386,5,0.5000000000000001,1,38.52999877929688,37.5027
2019-10-13,Landhi,0.2324296377127891,2.412514696306973,10,-0.8660254037844386,6,0.5000000000000001,1,38.52999877929688,32.7462
2019-10-14,Landhi,0.2179557165861513,3.0934017182202203,10,-0.8660254037844386,0,0.5000000000000001,0,38.52999877929688,36.5653
2019-10-15,Landhi,0.2113281943212067,1.8771567213348728,10,-0.8660254037844386,1,0.5000000000000001,0,38.52999877929688,46.1393
