date,station,aer_ai,no2,so2,co,wind_speed,rh,temperature_2m,Optical_Depth_047,Optical_Depth_055,viirs_ntl,month,month_sin,month_cos,day_of_week,dow_sin,dow_cos,is_holiday,is_weekend,pm25
2020-02-16,Landhi,,,,,1.8390701900768724,27.44892470312638,295.7352757237257,0.1856655172413793,0.1488413793103448,38.09000015258789,2,0.8660254037844386,0.5000000000000001,6,-0.7818314824680299,0.6234898018587334,0,1,105.24639345572399
2020-02-17,Landhi,,,,,3.629391624202106,5.953136455300858,297.4552678322691,0.1385217391304347,0.1039945652173912,38.09000015258789,2,0.8660254037844386,0.5000000000000001,0,0.0,1.0,0,0,104.4650475825678
2020-02-18,Landhi,,,,,1.980990438763832,18.0706407970124,297.1420618955212,0.3848157894736842,0.2937368421052631,38.09000015258789,2,0.8660254037844386,0.5000000000000001,1,0.7818314824680298,0.6234898018587336,0,0,119.9765254300668
2020-02-19,Landhi,,,,,4.159762897381899,30.913559048747008,297.5682813841773,0.288051724137931,0.2242011494252873,38.09000015258789,2,0.8660254037844386,0.5000000000000001,2,0.9749279121818236,-0.2225209339563143,0,0,109.10034770361891
2020-02-20,Landhi,,,,,4.613137416800801,14.445311307911089,296.65594128553727,0.3505761978704524,0.2807153948535936,38.09000015258789,2,0.8660254037844386,0.5000000000000001,3,0.4338837391175582,-0.900968867902419,0,0,109.3814195450541
2020-02-21,Landhi,,,,,5.7286906119856695,28.414159828260907,295.5831887222237,0.4398734939759036,0.3357660424305919,38.09000015258789,2,0.8660254037844386,0.5000000000000001,4,-0.433883739117558,-0.9009688679024191,0,0,105.00236875034757
2020-02-22,Landhi,,,,,5.062644796474866,41.864904287194406,296.1430135343127,0.4817275862068965,0.383203448275862,38.09000015258789,2,0.8660254037844386,0.5000000000000001,5,-0.9749279121818236,-0.2225209339563146,0,1,126.46606612146542
2020-02-23,Landhi,,,,,2.8455288533283323,49.658458666716975,296.30139836139824,0.4688586206896552,0.3716206896551725,38.09000015258789,2,0.8660254037844386,0.5000000000000001,6,-0.7818314824680299,0.6234898018587334,0,1,119.97330788309996
2020-02-24,Landhi,,,,,1.8811537922471024,55.01880303463342,296.0318460584642,0.3538499625187405,0.2731664542728635,38.09000015258789,2,0.8660254037844386,0.5000000000000001,0,0.0,1.0,0,0,124.80417045370888
2020-02-25,Landhi,,,,,2.5804483808062346,77.09921516048495,295.9735066645834,0.3953641304347826,0.3004673913043478,38.09000015258789,2,0.8660254037844386,0.5000000000000001,1,0.7818314824680298,0.6234898018587336,0,0,123.46491588060383
2020-02-26,Landhi,,,,,3.717690839501846,76.80369116746743,296.41814628199074,0.2567314635718891,0.2024900064474532,38.09000015258789,2,0.8660254037844386,0.5000000000000001,2,0.9749279121818236,-0.2225209339563143,0,0,110.90994607721991
2020-02-27,Landhi,,,,,5.173805527682581,66.7143612432632,296.64471787667173,0.2248417721518987,0.169879746835443,38.09000015258789,2,0.8660254037844386,0.5000000000000001,3,0.4338837391175582,-0.900968867902419,0,0,106.62519904128038
2020-02-28,Landhi,,,,,4.042389912074103,82.99092317911082,296.52298432518023,0.6662282608695651,0.5142173913043478,38.09000015258789,2,0.8660254037844386,0.5000000000000001,4,-0.433883739117558,-0.9009688679024191,0,0,138.850668482141
2020-02-29,Landhi,,,,,1.1810755359346423,67.5598466016561,296.95658495955087,1.0395512839325018,0.8668039618488628,38.09000015258789,2,0.8660254037844386,0.5000000000000001,5,-0.9749279121818236,-0.2225209339563146,0,1,172.94236557761894
2020-03-01,Landhi,,,,,4.740296034984803,45.35357184937062,297.39460201562014,0.5939931034482759,0.4804241379310345,47.47999954223633,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,0,1,110.39377341889005
2020-03-02,Landhi,,,,,2.0563469129101315,47.32328410135717,297.0556940972328,0.4068115067466266,0.3153299100449774,47.47999954223633,3,1.0,6.123233995736766e-17,0,0.0,1.0,0,0,94.31582626415174
2020-03-03,Landhi,,,,,4.302436854509392,57.18405022038457,296.4869725299091,0.4840344827586207,0.3901344827586206,47.47999954223633,3,1.0,6.123233995736766e-17,1,0.7818314824680298,0.6234898018587336,0,0,97.82433135745494
2020-03-04,Landhi,,,,,6.024691191320535,73.67045728049332,295.7707499503725,0.3576521739130434,0.2719728260869564,47.47999954223633,3,1.0,6.123233995736766e-17,2,0.9749279121818236,-0.2225209339563143,0,0,94.53921773713651
2020-03-05,Landhi,,,,,5.143740298923688,50.22950529199235,295.13580365015287,0.7043815511163337,0.5748673325499414,47.47999954223633,3,1.0,6.123233995736766e-17,3,0.4338837391175582,-0.900968867902419,0,0,114.33765398388745
2020-03-06,Landhi,,,,,2.4308936228778224,27.422213469285133,293.6689458273894,0.3938119190404797,0.3107174287856071,47.47999954223633,3,1.0,6.123233995736766e-17,4,-0.433883739117558,-0.9009688679024191,0,0,97.30323482981503
2020-03-07,Landhi,,,,,2.495276579957548,54.58216559279972,294.79530656879376,0.2136010425909494,0.1726912156166813,47.47999954223633,3,1.0,6.123233995736766e-17,5,-0.9749279121818236,-0.2225209339563146,0,1,88.88847268356291
2020-03-08,Landhi,,,,,1.8412479569239588,44.95400848748373,295.04121416914126,0.2831413793103448,0.2236551724137931,47.47999954223633,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,0,1,91.25077351556476
2020-03-09,Landhi,,,,,2.7758434854894625,32.073493660637226,296.6943344001143,0.3524057610241821,0.2688001422475106,47.47999954223633,3,1.0,6.123233995736766e-17,0,0.0,1.0,0,0,88.67384603645095
2020-03-10,Landhi,,,,,4.216402341034591,43.32865494597426,295.9056489557745,0.4397454930429522,0.3598912885662432,47.47999954223633,3,1.0,6.123233995736766e-17,1,0.7818314824680298,0.6234898018587336,0,0,94.61143284687775
2020-03-12,Landhi,,,,,6.8943108867731,19.12774272294096,294.77520264592425,0.5350229885057471,0.4185404214559387,47.47999954223633,3,1.0,6.123233995736766e-17,3,0.4338837391175582,-0.900968867902419,0,0,94.40481216016023
2020-03-13,Landhi,,,,,1.9955645151439187,12.74573265964937,295.4564303812883,0.5424426877470354,0.424445652173913,47.47999954223633,3,1.0,6.123233995736766e-17,4,-0.433883739117558,-0.9009688679024191,0,0,108.84808672790298
2020-03-15,Landhi,,,,,1.379745249018514,23.26631627555492,297.3703642026211,0.3284268292682926,0.2817134146341463,47.47999954223633,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,0,1,93.11828949116574
2020-03-16,Landhi,,,,,3.3864951156773606,27.389336366930657,298.14457232099124,0.3119838282078473,0.2560046394485683,47.47999954223633,3,1.0,6.123233995736766e-17,0,0.0,1.0,0,0,88.42397021840888
2020-03-17,Landhi,,,,,1.9198152612348829,22.314269533551105,299.2361971165853,0.3508310344827586,0.2800896551724138,47.47999954223633,3,1.0,6.123233995736766e-17,1,0.7818314824680298,0.6234898018587336,0,0,90.4637576617407
2020-03-18,Landhi,,,,,1.6163425316525055,17.952687124024386,300.2135027229627,0.2638594452773613,0.2042202023988005,47.47999954223633,3,1.0,6.123233995736766e-17,2,0.9749279121818236,-0.2225209339563143,0,0,83.21133689000668
2020-03-19,Landhi,,,,,3.748095575689408,27.83857870223044,299.11226092189634,0.302220172413793,0.2404294827586206,47.47999954223633,3,1.0,6.123233995736766e-17,3,0.4338837391175582,-0.900968867902419,0,0,94.5508562237048
2020-03-20,Landhi,,,,,5.929582606941017,74.75965242670688,297.5283994336037,0.3515543478260869,0.2662336956521738,47.47999954223633,3,1.0,6.123233995736766e-17,4,-0.433883739117558,-0.9009688679024191,0,0,86.39648855421044
2020-03-21,Landhi,,,,,4.298061360104904,78.07719925060759,298.01429703673494,0.50311,0.4126499999999999,47.47999954223633,3,1.0,6.123233995736766e-17,5,-0.9749279121818236,-0.2225209339563146,0,1,105.870441061524
2020-03-22,Landhi,,,,,2.590477254217494,67.36180204330077,298.957292906334,0.3675,0.28,47.47999954223633,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,0,1,97.5042488520831
2020-03-23,Landhi,,,,,2.842276182032628,70.51984897589907,298.1276183578065,,,47.47999954223633,3,1.0,6.123233995736766e-17,0,0.0,1.0,1,0,68.74614911890868
2020-03-24,Landhi,,,,,4.241781147948299,80.05270998555952,297.69164133599884,0.3314191091954023,0.2658387931034482,47.47999954223633,3,1.0,6.123233995736766e-17,1,0.7818314824680298,0.6234898018587336,0,0,100.7714456543392
2020-03-25,Landhi,,,,,3.337529884066196,50.33868796987253,298.10240865126946,,,47.47999954223633,3,1.0,6.123233995736766e-17,2,0.9749279121818236,-0.2225209339563143,0,0,66.75974265115731
2020-03-26,Landhi,,,,,2.073322581679045,74.08724135310158,294.9323971294272,,,47.47999954223633,3,1.0,6.123233995736766e-17,3,0.4338837391175582,-0.900968867902419,0,0,74.3025716869451
2020-03-27,Landhi,,,,,3.842714227558493,72.32974803643447,295.52534852058847,0.1450276986506746,0.1119427286356821,47.47999954223633,3,1.0,6.123233995736766e-17,4,-0.433883739117558,-0.9009688679024191,0,0,85.27409400906996
2020-03-28,Landhi,,,,,4.153802064602026,69.94054345853289,297.17638091414705,0.4178431818181818,0.3218472727272726,47.47999954223633,3,1.0,6.123233995736766e-17,5,-0.9749279121818236,-0.2225209339563146,0,1,96.67800177449737
2020-03-29,Landhi,,,,,1.4511719049523133,42.669672095004,299.48811672570463,0.2960026236881559,0.2327122063968015,47.47999954223633,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,0,1,85.02854701423755
2020-03-30,Landhi,,,,,2.7634938245091893,39.23894244266111,300.0129959351145,0.3900934320074005,0.2967051341350601,47.47999954223633,3,1.0,6.123233995736766e-17,0,0.0,1.0,0,0,90.9401036020913
2020-03-31,Landhi,,,,,5.7200579377060725,64.43916842118041,298.8161497753327,0.4058013118440779,0.3165647301349324,47.47999954223633,3,1.0,6.123233995736766e-17,1,0.7818314824680298,0.6234898018587336,0,0,96.96219510230445
2020-04-01,Landhi,,,,,3.9872270530033447,61.84204852380946,298.53745401083125,0.1626804347826085,0.1295739130434782,46.310001373291016,4,0.8660254037844387,-0.4999999999999998,2,0.9749279121818236,-0.2225209339563143,0,0,87.51358051328974
2020-04-02,Landhi,,,,,1.9163526915877376,49.09303374073328,300.4849981167426,0.2937943103448276,0.2384436206896552,46.310001373291016,4,0.8660254037844387,-0.4999999999999998,3,0.4338837391175582,-0.900968867902419,0,0,81.412115793251
